                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1328,                 4.6975,                 5.9317,                 2.4958,                0.00225,                0.57429,                0.10723,                0.03385,                0.00255,                0.66679,                0.10999,                0.02456,                 2.4432,                 2.6168,                   7.53,                  3.345,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 1.8614,                 3.8831,                 5.4822,                  2.243,                0.00267,                0.58596,                0.01749,                0.00837,                0.00309,                0.63474,                0.02504,                0.00954,                 2.4866,                 2.3038,                 7.7805,                 3.2405,              5.445e-05,              5.445e-05,              5.445e-05
                      3,                 1.5315,                 2.7191,                 4.8911,                 2.0387,                 0.0031,                0.60686,                0.04027,                0.01292,                0.00332,                0.57353,                  0.042,                0.01449,                 2.6547,                  2.425,                 8.4097,                 3.1255,              8.536e-05,              8.536e-05,              8.536e-05
                      4,                 1.5946,                 2.2508,                 4.7716,                 2.0825,                0.00317,                0.62603,                0.10399,                0.02716,                0.00319,                0.53853,                0.11091,                0.03445,                 2.7696,                  2.967,                 8.6714,                 3.2396,             0.00011495,             0.00011495,             0.00011495
                      5,                 1.3914,                 1.7827,                 4.3132,                 1.9017,                0.00212,                0.40769,                0.07397,                0.01974,                0.00222,                0.43269,                0.08913,                0.02322,                 2.9366,                 3.3391,                 9.3113,                 3.3521,             0.00014322,             0.00014322,             0.00014322
                      6,                 1.3073,                 1.7614,                 4.2279,                 1.8393,                0.00165,                0.35724,                0.08849,                0.02605,                0.00169,                0.36974,                0.12278,                0.03261,                 3.1689,                 3.2317,                 10.604,                 3.2672,             0.00017017,             0.00017017,             0.00017017
                      7,                 1.2544,                 1.6203,                 3.8809,                  1.838,                0.00209,                0.62468,                0.09988,                0.03192,                0.00213,                0.63718,                0.12853,                0.03569,                 2.5995,                 3.0379,                 8.2996,                 2.8793,              0.0001958,              0.0001958,              0.0001958
                      8,                 1.2305,                 1.6838,                 3.8068,                 1.8043,                0.00226,                 0.6909,                0.05776,                0.01499,                0.00231,                0.70423,                 0.0498,                0.01543,                  2.512,                 3.1199,                 7.8732,                 3.0277,             0.00022011,             0.00022011,             0.00022011
                      9,                 1.1772,                 1.5655,                 3.4789,                 1.7903,                0.00228,                0.66878,                0.04034,                0.01215,                0.00228,                0.66878,                0.03824,                0.01196,                 2.7949,                 3.3297,                 8.6114,                 2.8802,              0.0002431,              0.0002431,              0.0002431
                     10,                 1.2498,                 1.3824,                 3.4454,                 1.7652,                 0.0024,                0.70917,                0.09597,                0.02351,                0.00244,                0.72167,                0.08488,                0.02183,                 2.6711,                 4.7894,                 7.8565,                 2.9922,             0.00026478,             0.00026478,             0.00026478
                     11,                 1.0946,                  1.384,                 3.2534,                 1.6827,                0.00318,                0.57712,                0.09207,                0.02865,                 0.0034,                0.60583,                0.07175,                0.02075,                 2.7812,                 4.2654,                 8.7788,                 3.1094,             0.00028513,             0.00028513,             0.00028513
                     12,                 1.1273,                 1.3893,                 3.2204,                 1.6582,                 0.0034,                0.69295,                0.16525,                0.04843,                0.00353,                0.72083,                 0.1413,                0.04074,                 2.4435,                 5.3634,                 7.5492,                 3.1253,             0.00030416,             0.00030416,             0.00030416
                     13,                 1.0705,                 1.1505,                 2.9973,                 1.6274,                0.00329,                   0.68,                0.07314,                 0.0161,                0.00317,                0.66667,                0.07367,                0.01664,                 2.7551,                 6.9176,                 8.0615,                 3.1696,             0.00032187,             0.00032187,             0.00032187
                     14,                 1.1016,                 1.2414,                 3.0842,                 1.6438,                0.00253,                0.60962,                0.05957,                0.01543,                0.00246,                0.51923,                0.05326,                0.01302,                 2.9319,                 5.0205,                 8.4016,                 3.3535,             0.00033826,             0.00033826,             0.00033826
                     15,                 1.0415,                 1.2204,                 2.8949,                 1.6056,                0.00307,                0.77462,                0.14123,                0.05016,                0.00307,                 0.6384,                0.13358,                0.05182,                 2.5148,                 5.0561,                 7.6951,                 3.0087,             0.00035333,             0.00035333,             0.00035333
                     16,                 1.0459,                 1.2148,                 2.8127,                 1.6124,                0.76402,                0.18904,                0.25888,                0.09372,                0.72242,                0.17365,                0.23053,                0.09462,                  2.322,                 3.5913,                 7.2054,                 2.7888,             0.00036709,             0.00036709,             0.00036709
                     17,                 1.0886,                 1.0743,                 2.8201,                 1.5682,                0.14742,                0.69718,                0.44943,                0.19305,                0.15085,                0.70968,                0.44385,                0.13569,                 2.1241,                 4.0505,                 6.9827,                 2.4157,             0.00037952,             0.00037952,             0.00037952
                     18,                0.95961,                 1.0475,                 2.6526,                 1.4763,                0.80344,                0.13261,                0.49899,                0.15289,                0.80344,                0.13261,                0.48295,                0.13323,                 2.0833,                 3.7459,                 6.4662,                 2.2799,             0.00039063,             0.00039063,             0.00039063
                     19,                0.94524,                0.94502,                 2.5697,                   1.48,                0.79192,                0.07246,                0.41708,                0.13452,                0.79192,                0.07246,                 0.3778,                0.13657,                 2.2643,                 3.7683,                 7.0664,                 2.2424,             0.00040042,             0.00040042,             0.00040042
                     20,                 0.9834,                 1.2483,                 2.6426,                 1.5152,                0.85818,                0.14364,                0.40289,                0.14645,                0.75082,                0.11493,                0.37544,                0.14364,                 2.3945,                  3.998,                 7.1296,                 2.1307,             0.00040889,             0.00040889,             0.00040889
                     21,                0.91791,                 1.0373,                 2.5455,                 1.4371,                0.62021,                0.06788,                0.40105,                0.14537,                0.62021,                0.06788,                0.30721,                0.09545,                 2.2053,                 4.4837,                 7.2179,                 2.1114,             0.00041605,             0.00041605,             0.00041605
                     22,                0.99732,                 1.0312,                 2.6218,                 1.5157,                0.74884,                0.26293,                0.42387,                0.15557,                0.72941,                0.24755,                0.51391,                0.17985,                 2.1054,                 4.3048,                 6.3255,                 2.3018,             0.00042188,             0.00042188,             0.00042188
                     23,                0.98948,                 1.1005,                 2.5381,                 1.5299,                0.79288,                0.16261,                0.49491,                0.16109,                0.79491,                0.16127,                0.38814,                0.15803,                 2.2213,                 3.0514,                 6.5538,                 2.2308,             0.00042639,             0.00042639,             0.00042639
                     24,                0.93049,                 1.0132,                 2.3808,                  1.473,                0.70004,                0.18756,                0.46925,                0.17476,                0.65551,                0.17218,                0.37872,                0.14952,                 2.0735,                 3.5239,                 6.3538,                  2.194,             0.00042959,             0.00042959,             0.00042959
                     25,                0.92556,                 1.1284,                 2.4901,                 1.4586,                0.70296,                0.36724,                0.58707,                0.24021,                0.67471,                0.33647,                0.55097,                0.17961,                 2.0194,                 3.7207,                 5.8408,                 2.2968,             0.00043146,             0.00043146,             0.00043146
                     26,                0.92304,                 1.0265,                 2.3931,                 1.4878,                0.61161,                0.36224,                 0.4824,                0.22111,                 0.5973,                0.34734,                0.45663,                0.14725,                 2.0805,                 3.3356,                 5.9014,                 2.3048,             0.00043201,             0.00043201,             0.00043201
                     27,                0.97877,                0.99407,                 2.4137,                 1.5313,                0.71205,                0.45374,                0.62254,                0.23183,                0.70935,                0.50903,                0.59072,                0.20645,                 2.0649,                 3.5031,                 5.5346,                 2.2965,             0.00043125,             0.00043125,             0.00043125
                     28,                 0.9616,                 0.9608,                 2.3806,                 1.4504,                0.54797,                0.44679,                 0.5899,                0.24179,                0.53564,                0.43429,                0.57385,                0.17616,                 2.1333,                   3.84,                 5.8928,                 2.4069,             0.00042916,             0.00042916,             0.00042916
                     29,                 0.9901,                 1.0365,                 2.3742,                 1.5132,                0.41369,                0.51535,                0.45582,                0.19729,                0.30012,                0.39808,                0.31572,                 0.1461,                 2.1039,                 4.1063,                  5.529,                 2.2835,             0.00042575,             0.00042575,             0.00042575
                     30,                0.90759,                0.97367,                 2.1372,                 1.4154,                0.44087,                0.42672,                0.51355,                0.16901,                0.42203,                0.46205,                0.45227,                0.14834,                 2.4464,                 3.5392,                 5.9226,                 2.6356,             0.00042103,             0.00042103,             0.00042103
                     31,                0.95654,                 0.9895,                 2.3661,                 1.4679,                0.43007,                 0.4752,                0.47535,                0.17771,                0.40965,                0.45179,                0.42172,                0.17402,                 2.2168,                 3.6492,                 5.5867,                 2.4118,             0.00041498,             0.00041498,             0.00041498
                     32,                0.84711,                 1.0715,                 2.2012,                 1.4365,                0.51885,                 0.5187,                0.54163,                 0.1932,                0.48216,                0.47516,                0.51026,                0.18294,                 2.0459,                 3.8352,                 5.4109,                 2.1723,             0.00040761,             0.00040761,             0.00040761
                     33,                0.89005,                0.91462,                 2.1805,                 1.3941,                 0.5825,                 0.3219,                0.41791,                0.15318,                0.63269,                0.33071,                0.39347,                0.16326,                 2.3361,                 3.5485,                  6.002,                 2.6404,             0.00039893,             0.00039893,             0.00039893
                     34,                  0.824,                0.87918,                 2.0484,                  1.364,                 0.6388,                0.36215,                0.54553,                0.19039,                0.68635,                0.35885,                0.41553,                0.16869,                 2.1653,                 3.5928,                 5.6355,                  2.386,             0.00038507,             0.00038507,             0.00038507
                     35,                0.84099,                 1.0644,                 2.1897,                 1.4491,                0.67087,                0.35465,                0.51078,                0.15567,                0.66054,                0.32098,                 0.3933,                0.15533,                  2.264,                 3.7601,                 5.2858,                 2.5338,             0.00036307,             0.00036307,             0.00036307
                     36,                0.81279,                0.81356,                 1.9613,                 1.3725,                0.92063,                0.24821,                 0.4607,                0.18518,                0.89186,                0.23526,                0.38252,                0.15769,                 2.1481,                 4.9887,                 5.4127,                 2.4138,             0.00034108,             0.00034108,             0.00034108
                     37,                0.83441,                0.98197,                 2.1113,                 1.3917,                0.67646,                0.51936,                0.55292,                0.19275,                0.58676,                0.48444,                0.44856,                0.16685,                 2.0641,                 5.4735,                 4.9535,                 2.6113,             0.00031908,             0.00031908,             0.00031908
                     38,                0.79498,                0.87798,                 1.8797,                 1.3237,                0.74654,                0.46635,                0.55241,                0.23778,                0.70843,                0.42491,                0.48409,                0.21673,                 2.0692,                 4.7561,                 4.7715,                 2.4541,             0.00029708,             0.00029708,             0.00029708
                     39,                0.77577,                0.93769,                 1.9405,                 1.3281,                0.76781,                0.50627,                0.60821,                 0.2454,                0.72654,                0.46806,                 0.5203,                0.21903,                 2.0617,                 4.9337,                 4.8953,                 2.6719,             0.00027508,             0.00027508,             0.00027508
                     40,                 0.7615,                0.81838,                 1.7626,                 1.3388,                0.69087,                0.52863,                0.70899,                0.24768,                0.53173,                0.46413,                0.54727,                0.19228,                 2.0862,                 6.1697,                 4.8313,                 2.7593,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.5212,                 1.1735,                 5.1804,                 1.6429,                0.56794,                0.49936,                0.61344,                0.24897,                0.46594,                0.38488,                0.43302,                 0.1638,                 2.1347,                 7.4506,                 5.1722,                 3.8952,             0.00023109,             0.00023109,             0.00023109
                     42,                 1.4502,                0.88184,                 4.9006,                 1.5826,                0.68879,                0.54028,                0.58025,                0.24213,                0.65849,                0.49181,                0.52862,                0.21642,                 2.0884,                 5.1514,                 4.8928,                 4.0716,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.3098,                0.93871,                 4.5088,                 1.5434,                0.78574,                0.57493,                0.68145,                0.31857,                0.74448,                0.53106,                0.61957,                0.29578,                 1.9765,                 3.5742,                 4.5167,                 2.6315,             0.00018709,             0.00018709,             0.00018709
                     44,                 1.1425,                0.93483,                  4.191,                 1.4714,                0.59763,                0.82344,                0.80637,                0.35489,                0.59533,                 0.8254,                  0.802,                0.34859,                 1.8964,                 3.2877,                 4.6476,                 2.3286,             0.00016509,             0.00016509,             0.00016509
                     45,                 1.1974,                0.79728,                  4.018,                 1.5011,                0.63065,                0.69471,                0.68226,                0.32573,                0.68421,                0.78089,                0.74414,                0.36196,                 1.9215,                 3.4404,                 5.0068,                 2.5454,              0.0001431,              0.0001431,              0.0001431
                     46,                 1.1868,                0.91072,                 4.1052,                 1.4306,                0.62124,                0.79541,                0.71572,                0.33547,                0.50781,                0.67686,                0.67308,                0.33489,                 1.9522,                 3.3776,                 4.7885,                 2.7615,              0.0001211,              0.0001211,              0.0001211
                     47,                 1.2523,                0.84133,                 3.9626,                 1.4178,                0.53559,                0.77429,                0.72158,                0.36276,                0.50377,                0.72814,                0.69046,                0.35268,                 1.9124,                 3.2207,                 4.5621,                 2.7475,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 1.3066,                 0.7932,                 4.2241,                 1.3456,                0.65418,                0.74641,                 0.7691,                0.37309,                0.63802,                0.72814,                0.73839,                0.36898,                 1.9106,                 3.1433,                 4.7234,                 2.7066,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 1.0556,                 0.5732,                 3.6849,                 1.4046,                0.63036,                0.75031,                0.77022,                0.38709,                0.62867,                0.74743,                0.74799,                0.38384,                 1.8664,                 3.0134,                 4.7509,                 2.4902,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 1.1382,                0.65327,                 4.0033,                 1.3734,                 0.5968,                0.76484,                0.78336,                0.40418,                0.58638,                 0.7515,                0.75413,                0.40057,                 1.7934,                 2.9053,                  4.676,                 2.3047,             3.3108e-05,             3.3108e-05,             3.3108e-05
